Book-ID,Book-Title,Book-Genre,Book-Author,Year-Of-Publication,Publisher,Image-URL-M
195153448,Classical Mythology,"Mythology, History",Mark P. O. Morford,2002,Oxford University Press,http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg
2005018,Clara Callan,"Historical Fiction, Literary Fiction",Richard Bruce Wright,2001,HarperFlamingo Canada,http://images.amazon.com/images/P/0002005018.01.MZZZZZZZ.jpg
60973129,Decision in Normandy,"History, Military",Carlo D'Este,1991,HarperPerennial,http://images.amazon.com/images/P/0060973129.01.MZZZZZZZ.jpg
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,"Non-Fiction, Medical History",Gina Bari Kolata,1999,Farrar Straus Giroux,http://images.amazon.com/images/P/0374157065.01.MZZZZZZZ.jpg
393045218,The Mummies of Urumchi,"Archaeology, History",E. J. W. Barber,1999,W. W. Norton &amp, Company
399135782,The Kitchen God's Wife,"Historical Fiction, Contemporary",Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,"Alternative History, Non-Fiction",Robert Cowley,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425176428.01.MZZZZZZZ.jpg
671870432,PLEADING GUILTY,Legal Thriller,Scott Turow,1993,Audioworks,http://images.amazon.com/images/P/0671870432.01.MZZZZZZZ.jpg
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,"History, Non-Fiction",David Cordingly,1996,Random House,http://images.amazon.com/images/P/0679425608.01.MZZZZZZZ.jpg
074322678X,Where You'll Find Me: And Other Stories,"Short Stories, Literary Fiction",Ann Beattie,2002,Scribner,http://images.amazon.com/images/P/074322678X.01.MZZZZZZZ.jpg
771074670,Nights Below Station Street,Literary Fiction,David Adams Richards,1988,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,"History, Non-Fiction",Adam Lebor,2000,Citadel Press,http://images.amazon.com/images/P/080652121X.01.MZZZZZZZ.jpg
887841740,The Middle Stories,"Short Stories, Contemporary",Sheila Heti,2004,House of Anansi Press,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg
1552041778,Jane Doe,"Thriller, Mystery",R. J. Kaiser,1999,Mira Books,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),"Self-Help, Inspirational",Jack Canfield,1998,Health Communications,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg
1567407781,The Witchfinder (Amos Walker Mystery Series),"Mystery, Detective Fiction",Loren D. Estleman,1998,Brilliance Audio - Trade,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg
1575663937,More Cunning Than Man: A Social History of Rats and Man,"History, Science",Robert Hendrickson,1999,Kensington Publishing Corp.,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg
1881320189,Goodbye to the Buttermilk Sky,Historical Fiction,Julia Oliver,1994,River City Pub,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg
440234743,The Testament,Legal Thriller,John Grisham,1999,Dell,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg
452264464,Beloved (Plume Contemporary Fiction),"Historical Fiction, Literary Fiction",Toni Morrison,1994,Plume,http://images.amazon.com/images/P/0452264464.01.MZZZZZZZ.jpg
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,"Humor, Satire",The Onion,1999,Three Rivers Press,http://images.amazon.com/images/P/0609804618.01.MZZZZZZZ.jpg
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,"Cookbook, Non-Fiction",Celia Brooks Brown,2001,Ryland Peters &amp, Small Ltd
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,"Self-Help, Advice",J. R. Parrish,2003,Cypress House,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg
61076031,Mary-Kate &amp, Ashley Switching Goals (Mary-Kate and Ashley Starring in),"Children's, Young Adult",Mary-Kate &amp, Ashley Olsen,2000
439095026,Tell Me This Isn't Happening,"Young Adult, Coming-of-Age",Robynn Clairday,1999,Scholastic,http://images.amazon.com/images/P/0439095026.01.MZZZZZZZ.jpg
689821166,Flood : Mississippi 1927,"History, Non-Fiction",Kathleen Duey,1998,Aladdin,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg
971880107,Wild Animus,Literary Fiction,Rich Shapero,2004,Too Far,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg
345402871,Airframe,"Thriller, Techno-Thriller",Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
345417623,Timeline,"Science Fiction, Time Travel",MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
684823802,OUT OF THE SILENT PLANET,"Science Fiction, Fantasy",C.S. Lewis,1996,Scribner,http://images.amazon.com/images/P/0684823802.01.MZZZZZZZ.jpg
375759778,Prague : A Novel,Literary Fiction,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,http://images.amazon.com/images/P/0375759778.01.MZZZZZZZ.jpg
425163091,Chocolate Jesus,"Satire, Contemporary Fiction",Stephan Jaramillo,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425163091.01.MZZZZZZZ.jpg
3404921038,Wie Barney es sieht.,Contemporary Fiction,Mordecai Richler,2002,L??�bbe,http://images.amazon.com/images/P/3404921038.01.MZZZZZZZ.jpg
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,"Historical Fiction, Mystery",Eleanor Cooney,2001,Goldmann,http://images.amazon.com/images/P/3442353866.01.MZZZZZZZ.jpg
3442410665,Sturmzeit. Roman.,Historical Fiction,Charlotte Link,1991,Goldmann,http://images.amazon.com/images/P/3442410665.01.MZZZZZZZ.jpg
3442446937,Tage der Unschuld.,Contemporary Fiction,Richard North Patterson,2000,Goldmann,http://images.amazon.com/images/P/3442446937.01.MZZZZZZZ.jpg
375406328,Lying Awake,Literary Fiction,Mark Salzman,2000,Alfred A. Knopf,http://images.amazon.com/images/P/0375406328.01.MZZZZZZZ.jpg
446310786,To Kill a Mockingbird,"Classic, Historical Fiction",Harper Lee,1988,Little Brown &amp, Company
449005615,Seabiscuit: An American Legend,"Non-Fiction, History, Sports",LAURA HILLENBRAND,2002,Ballantine Books,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg
60168013,Pigs in Heaven,Contemporary Fiction,Barbara Kingsolver,1993,Harpercollins,http://images.amazon.com/images/P/0060168013.01.MZZZZZZZ.jpg
038078243X,Miss Zukas and the Raven's Dance,"Mystery, Cozy Mystery",Jo Dereske,1996,Avon,http://images.amazon.com/images/P/038078243X.01.MZZZZZZZ.jpg
055321215X,Pride and Prejudice,"Classic, Romance",Jane Austen,1983,Bantam,http://images.amazon.com/images/P/055321215X.01.MZZZZZZZ.jpg
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,"Health, Alternative Medicine",Dolores Krieger,1979,Fireside,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg
61099686,Downtown,Contemporary Fiction,Anne Rivers Siddons,1995,HarperTorch,http://images.amazon.com/images/P/0061099686.01.MZZZZZZZ.jpg
553582909,Icebound,"Thriller, Adventure",Dean R. Koontz,2000,Bantam Books,http://images.amazon.com/images/P/0553582909.01.MZZZZZZZ.jpg
671888587,I'll Be Seeing You,"Romance, Contemporary Fiction",Mary Higgins Clark,1994,Pocket,http://images.amazon.com/images/P/0671888587.01.MZZZZZZZ.jpg
553582747,From the Corner of His Eye,"Thriller, Supernatural",Dean Koontz,2001,Bantam Books,http://images.amazon.com/images/P/0553582747.01.MZZZZZZZ.jpg
425182908,Isle of Dogs,"Mystery, Thriller",Patricia Cornwell,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg
042518630X,Purity in Death,"Science Fiction, Crime",J.D. Robb,2002,Berkley Publishing Group,http://images.amazon.com/images/P/042518630X.01.MZZZZZZZ.jpg
440223571,This Year It Will Be Different: And Other Stories,"Short Stories, Holiday",Maeve Binchy,1997,Dell,http://images.amazon.com/images/P/0440223571.01.MZZZZZZZ.jpg
812523873,Proxies,Literary Fiction,Laura J. Mixon,1999,Tor Books,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),"Religious Fiction, Apocalyptic",Tim Lahaye,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg
440225701,The Street Lawyer,Legal Thriller,JOHN GRISHAM,1999,Dell,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
60914068,"Love, Medicine and Miracles","Self-Help, Health",M.D. Bernie S. Siegel,1988,HarperCollins Publishers,http://images.amazon.com/images/P/0060914068.01.MZZZZZZZ.jpg
156047624,All the King's Men,"Classic, Political Fiction",Robert Penn Warren,1982,Harvest Books,http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg
245542957,Pacific Northwest,"Travel, Non-Fiction",Hans Johannes Hoefer,1985,Chambers Harrap Publishers Ltd,http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg
380715899,A Soldier of the Great War,"Historical Fiction, War",Mark Helprin,1992,Avon Books,http://images.amazon.com/images/P/0380715899.01.MZZZZZZZ.jpg
553280333,Getting Well Again,"Health, Self-Help",O. Carol Simonton Md,1992,Bantam,http://images.amazon.com/images/P/0553280333.01.MZZZZZZZ.jpg
961769947,Northwest Wines and Wineries,"Food & Drink, Travel",Chuck Hill,1993,Speed Graphics,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg
964778319,An Atmosphere of Eternity: Stories of India,"Short Stories, Cultural",David Iglehart,2002,Sunflower Press,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg
671623249,LONESOME DOVE,"Western, Historical Fiction",Larry McMurtry,1986,Pocket,http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg
679810307,Shabanu: Daughter of the Wind (Border Trilogy),"Young Adult, Cultural Fiction",SUZANNE FISHER STAPLES,1991,Laurel Leaf,http://images.amazon.com/images/P/0679810307.01.MZZZZZZZ.jpg
679865691,Haveli (Laurel Leaf Books),"Young Adult, Cultural Fiction",SUZANNE FISHER STAPLES,1995,Laurel Leaf,http://images.amazon.com/images/P/0679865691.01.MZZZZZZZ.jpg
2070423204,Lieux dits,Literary Fiction,Michel Tournier,2002,Gallimard,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,"Science, Philosophy",Carl Sagan,1978,Ballantine Books,http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg
394743741,The yawning heights,"Political Satire, Philosophy",Aleksandr Zinoviev,1980,Random House,http://images.amazon.com/images/P/0394743741.01.MZZZZZZZ.jpg
042511774X,Breathing Lessons,"Literary Fiction, Family Drama",Anne Tyler,1994,Berkley Publishing Group,http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg
804106304,The Joy Luck Club,"Contemporary, Family Drama",Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
1853262404,Heart of Darkness (Wordsworth Collection),"Classic, Colonial Literature",Joseph Conrad,1998,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg
312970242,The Angel Is Near,"Thriller, Supernatural",Deepak Chopra,2000,St. Martin's Press,http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),"Classic, Romance",Thomas Hardy,1997,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Children's Fiction,Charles Noland,2003,1stBooks Library,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg
60938412,The Accidental Virgin,Romantic Comedy,Valerie Frankel,2003,Avon Trade,http://images.amazon.com/images/P/0060938412.01.MZZZZZZZ.jpg
140067477,The Tao of Pooh,"Philosophy, Self-Help",Benjamin Hoff,1983,Penguin Books,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg
345465083,Seabiscuit,"Non-Fiction, History, Sports",LAURA HILLENBRAND,2003,Ballantine Books,http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg
451625889,The Prince,Political Philosophy,Niccolo Machiavelli,1952,Signet Book,http://images.amazon.com/images/P/0451625889.01.MZZZZZZZ.jpg
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),"Self-Help, Advice",H. Jackson Brown,1991,Thomas Nelson,http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg
441783589,Starship Troopers,"Science Fiction, Military",Robert A. Heinlein,1987,Ace Books,http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)","Historical Mystery, Young Adult",PHILIP PULLMAN,1988,Laurel Leaf,http://images.amazon.com/images/P/0394895894.01.MZZZZZZZ.jpg
1569871213,Black Beauty (Illustrated Classics),"Classic, Children's Fiction",Anna Sewell,1995,Landoll,http://images.amazon.com/images/P/1569871213.01.MZZZZZZZ.jpg
375410538,Anil's Ghost,"Historical Fiction, War",MICHAEL ONDAATJE,2000,Knopf,http://images.amazon.com/images/P/0375410538.01.MZZZZZZZ.jpg
966986105,Prescription for Terror,"Thriller, Medical",Sandra Levy Ceren,1999,Andrew Scott Publishers,http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg
087113375X,Modern Manners: An Etiquette Book for Rude People,"Humor, Satire",P.J. O'Rourke,1990,Atlantic Monthly Press,http://images.amazon.com/images/P/087113375X.01.MZZZZZZZ.jpg
340767936,Turning Thirty,Contemporary Fiction,Mike Gayle,2000,Hodder &amp, Stoughton General Division
743403843,Decipher,"Science Fiction, Adventure",Stel Pavlou,2002,Simon &amp, Schuster (Trade Division)
60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell","Memoir, Biography",Sarah Payne Stuart,1999,Perennial,http://images.amazon.com/images/P/0060930365.01.MZZZZZZZ.jpg
60177586,Standing Firm: A Vice-Presidential Memoir,"Politics, Memoir",Dan Quayle,1994,Harpercollins,http://images.amazon.com/images/P/0060177586.01.MZZZZZZZ.jpg
71416331,Team Bush : Leadership Lessons from the Bush White House,"Politics, Leadership",Donald F. Kettl,2003,McGraw-Hill,http://images.amazon.com/images/P/0071416331.01.MZZZZZZZ.jpg
375509038,The Right Man : The Surprise Presidency of George W. Bush,"Politics, Biography",DAVID FRUM,2003,Random House,http://images.amazon.com/images/P/0375509038.01.MZZZZZZZ.jpg
553062042,Daybreakers Louis Lamour Collection,Western,Louis Lamour,1981,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553062042.01.MZZZZZZZ.jpg
316769487,The Catcher in the Rye,"Classic, Coming-of-Age",J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),"Fantasy, Classic",J. R. R. Tolkien,2001,Minotauro,http://images.amazon.com/images/P/8445071408.01.MZZZZZZZ.jpg
679429220,Midnight in the Garden of Good and Evil: A Savannah Story,"True Crime, Non-Fiction",John Berendt,1994,Random House,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg
671867156,Pretend You Don't See Her,"Thriller, Romance",Mary Higgins Clark,1998,Pocket,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg
312252617,Fast Women,"Romance, Mystery",Jennifer Crusie,2001,St. Martin's Press,http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg
312261594,Female Intelligence,Romantic Comedy,Jane Heller,2001,St. Martin's Press,http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg
316748641,Pasquale's Nose: Idle Days in an Italian Town,"Travel, Memoir",Michael Rips,2002,Back Bay Books,http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg
316973742,The Gospel of Judas: A Novel,Historical Fiction,Simon Mawer,2002,Back Bay Books,http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg
385235941,"Prize Stories, 1987: The O'Henry Awards",Short Stories,William Abrahams,1987,Doubleday Books,http://images.amazon.com/images/P/0385235941.01.MZZZZZZZ.jpg
446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!","Personal Finance, Self-Help",Robert T. Kiyosaki,2000,Warner Books,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg
451166892,The Pillars of the Earth,Historical Fiction,Ken Follett,1996,Signet Book,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg
553347594,McDonald's: Behind the Arches,"Business, Non-Fiction",John F. Love,1995,Bantam,http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg
671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,"Personal Finance, Self-Help",Robert G. Allen,1986,Fireside,http://images.amazon.com/images/P/0671621009.01.MZZZZZZZ.jpg
067976397X,Corelli's Mandolin : A Novel,"Historical Fiction, Romance",LOUIS DE BERNIERES,1995,Vintage,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg
684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans","Non-Fiction, Spirituality",Pam Proctor,1996,Fireside,http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg
786868716,The Five People You Meet in Heaven,"Fiction, Inspirational",Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),"Romance, Fiction",Irene Gonzalez Frei,2002,Tusquets,http://images.amazon.com/images/P/8472238822.01.MZZZZZZZ.jpg
671864769,Relics (Star Trek: The Next Generation),Science Fiction,Michael Jan Friedman,1992,Star Trek,http://images.amazon.com/images/P/0671864769.01.MZZZZZZZ.jpg
671521519,Bless The Beasts And Children : Bless The Beasts And Children,"Young Adult, Fiction",Glendon Swarthout,1995,Pocket,http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg
440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Science Fiction,Neal Barrett Jr.,1996,Dell,http://images.amazon.com/images/P/0440222303.01.MZZZZZZZ.jpg
312953453,Blood Oath,"Thriller, Mystery",David Morrell,1994,St. Martin's Press,http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg
446608653,The Alibi,"Thriller, Mystery",Sandra Brown,2000,Warner Books,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg
446612545,The Beach House,"Thriller, Mystery",James Patterson,2003,Warner Books,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg
446612618,A Kiss Remembered,Romance,Sandra Brown,2003,Warner Books,http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg
451208080,The Short Forever,"Thriller, Spy Fiction",Stuart Woods,2003,Signet Book,http://images.amazon.com/images/P/0451208080.01.MZZZZZZZ.jpg
553584383,Dead Aim,"Thriller, Mystery",IRIS JOHANSEN,2004,Bantam Books,http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg
671027360,Angels &amp, Demons,"Thriller, Mystery",Dan Brown,2001,Pocket Star
812575954,The Deal,"Business, Fiction",Joe Hutsko,2000,Tor Books (Mm),http://images.amazon.com/images/P/0812575954.01.MZZZZZZZ.jpg
316735736,All He Ever Wanted: A Novel,"Fiction, Drama",Anita Shreve,2004,Back Bay Books,http://images.amazon.com/images/P/0316735736.01.MZZZZZZZ.jpg
743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder","True Crime, Non-Fiction",Ann Rule,2002,Pocket,http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg
345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground","Memoir, Humor",LEWIS GRIZZARD,1991,Ballantine Books,http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg
380619458,The Mosquito Coast,"Adventure, Fiction",Paul Theroux,1990,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380619458.01.MZZZZZZZ.jpg
446325805,"If Love Were Oil, I'd Be About a Quart Low","Humor, Memoir",Lewis Grizzard,1994,Warner Books (Mm),http://images.amazon.com/images/P/0446325805.01.MZZZZZZZ.jpg
451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims","True Crime, Non-Fiction",Charles Hickey,1996,Onyx Books,http://images.amazon.com/images/P/0451406923.01.MZZZZZZZ.jpg
671042858,The Girl Who Loved Tom Gordon,"Horror, Thriller",Stephen King,2000,Pocket,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg
743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,"Non-Fiction, Gambling",Ben Mezrich,2003,Free Press,http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg
840734530,"The Oneprince (The Redaemian Chronicles, Book 1)","Fantasy, Fiction",Bill Hand,1992,Thomas Nelson Inc,http://images.amazon.com/images/P/0840734530.01.MZZZZZZZ.jpg
425184226,The Sum of All Fears,"Thriller, Spy Fiction",Tom Clancy,2002,Berkley Publishing Group,http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg
375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,"Non-Fiction, Letters",DANA REEVE,1999,Random House,http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg
9724119378,O Deus Das Pequenas Coisas,"Fiction, Literary",Roy,1998,Edicoes Asa,http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg
451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Historical Romance,Barbara Metzger,2002,Signet Book,http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg
60929790,One Hundred Years of Solitude,"Magical Realism, Literary",Gabriel Garcia Marquez,1998,Perennial,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg
60976845,Little Altars Everywhere: A Novel,"Fiction, Southern Gothic",Rebecca Wells,1996,Perennial,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),"Mystery, Crime Fiction",Tony Hillerman,1992,HarperTorch,http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg
671004573,Before I Say Good-Bye,"Thriller, Mystery",Mary Higgins Clark,2001,Pocket,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg
446601640,Slow Waltz in Cedar Bend,"Romance, Fiction",Robert James Waller,1994,Warner Books,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg
330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),"Self-Help, Spirituality",Rachel Harris,2001,Pan Macmillan,http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg
038572179X,Atonement : A Novel,"Historical Fiction, Drama",IAN MCEWAN,2003,Anchor,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg
393020371,Next: The Future Just Happened,"Non-Fiction, Technology",Michael Lewis,2001,W.W. Norton &amp, Company
1900850303,The Angelic Darkness,"Fiction, Fantasy",Richard Zimler,1999,Arcadia Books,http://images.amazon.com/images/P/1900850303.01.MZZZZZZZ.jpg
1903019699,The Soulbane Stratagem,Science Fiction,Norman Jetmundsen,2000,"John Hunt Publishing, Ltd.",http://images.amazon.com/images/P/1903019699.01.MZZZZZZZ.jpg
345425294,Gangster,"Crime, Thriller",Lorenzo Carcaterra,2002,Fawcett Books,http://images.amazon.com/images/P/0345425294.01.MZZZZZZZ.jpg
451410319,Hush,"Thriller, Mystery",Anne Frasier,2002,Onyx Books,http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg
553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)","Thriller, Mystery",Kay Hooper,2002,Bantam Books,http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg
8420639133,Temor y Temblor,"Philosophy, Non-Fiction",Soren Kierkegaard,2001,Alianza,http://images.amazon.com/images/P/8420639133.01.MZZZZZZZ.jpg
8476409419,Estudios sobre el amor,"Philosophy, Non-Fiction",Jose Ortega Y Gaset,2001,Downtown Book Center,http://images.amazon.com/images/P/8476409419.01.MZZZZZZZ.jpg
380778556,Rebecca,"Gothic Fiction, Mystery",Daphne Du Maurier,1994,Avon,http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg
451525221,Scarlet Letter,"Classic, Historical Fiction",Nathaniel Hawthorne,1993,Signet Book,http://images.amazon.com/images/P/0451525221.01.MZZZZZZZ.jpg
2740230,Keep It Simple: And Get More Out of Life,"Self-Help, Lifestyle",Nick Page,1999,Trafalgar Square,http://images.amazon.com/images/P/0002740230.01.MZZZZZZZ.jpg
