Book-ID,Book-Title,Book-Genre,Book-Author,Year-Of-Publication,Publisher,Image-URL-M
385336772,Diary of a Mad Mom-To-Be,"Humor, Fiction",Laura Wolf,2003,Delta,http://images.amazon.com/images/P/0385336772.01.MZZZZZZZ.jpg
440949424,Locked in Time (Laurel Leaf Books),"Young Adult, Mystery",LOIS DUNCAN,1986,Laure Leaf,http://images.amazon.com/images/P/0440949424.01.MZZZZZZZ.jpg
505524996,Contact,Science Fiction,Susan Grant,2002,Love Spell,http://images.amazon.com/images/P/0505524996.01.MZZZZZZZ.jpg
140252800,The Brimstone Wedding,"Gothic Fiction, Mystery",Barbara Vine,1997,Penguin Books Ltd,http://images.amazon.com/images/P/0140252800.01.MZZZZZZZ.jpg
451452755,The Catswold Portal,"Fantasy, Fiction",Shirley Rousseau Murphy,1993,Roc,http://images.amazon.com/images/P/0451452755.01.MZZZZZZZ.jpg
812575482,Through Wolf's Eyes (Wolf),"Fantasy, Fiction",Jane Lindskold,2002,Tor Fantasy,http://images.amazon.com/images/P/0812575482.01.MZZZZZZZ.jpg
044651747X,Puerto Vallarta Squeeze,"Thriller, Fiction",Robert James Waller,1995,Warner Books,http://images.amazon.com/images/P/044651747X.01.MZZZZZZZ.jpg
60801263,Tree Grows In Brooklyn,"Classic, Fiction",Betty Smith,1988,Harpercollins Publisher,http://images.amazon.com/images/P/0060801263.01.MZZZZZZZ.jpg
61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think","Memoir, Biography",Cybill Shepherd,2001,Avon Books,http://images.amazon.com/images/P/0061030147.01.MZZZZZZZ.jpg
140250964,Snow Angels,"Fiction, Literary",Stewart O'Nan,1995,Penguin Books,http://images.amazon.com/images/P/0140250964.01.MZZZZZZZ.jpg
446527165,Wish You Well,Historical Fiction,David Baldacci,2000,Warner Books,http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg
671461494,The Hitchhiker's Guide to the Galaxy,"Science Fiction, Humor",Douglas Adams,1982,Pocket,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg
385337639,Crow Lake (Today Show Book Club #7),"Fiction, Literary",Mary Lawson,2003,Delta,http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg
039575514X,My Antonia,"Classic, Historical Fiction",Willa Cather,1995,Mariner Books,http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg
451206673,Pen Pals,"Fiction, Romance",Olivia Goldsmith,2002,Signet Book,http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg
330332775,Bridget Jones's Diary,"Romance, Humor",Helen Fielding,1997,Picador (UK),http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg
486284735,Pride and Prejudice (Dover Thrift Editions),"Classic, Romance",Jane Austen,1995,Dover Publications,http://images.amazon.com/images/P/0486284735.01.MZZZZZZZ.jpg
671021745,EYE ON CRIME: HARDY BOYS #153,"Mystery, Young Adult",Franklin W. Dixon,1998,Aladdin,http://images.amazon.com/images/P/0671021745.01.MZZZZZZZ.jpg
671047612,Skin And Bones,"Thriller, Mystery",Franklin W. Dixon,2000,Aladdin,http://images.amazon.com/images/P/0671047612.01.MZZZZZZZ.jpg
671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)","Young Adult, Mystery",Franklin W. Dixon,1995,Simon Pulse,http://images.amazon.com/images/P/0671504282.01.MZZZZZZZ.jpg
399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Cozy Mystery,Lilian Jackson Braun,1994,Putnam Pub Group,http://images.amazon.com/images/P/0399138684.01.MZZZZZZZ.jpg
785263292,"If Singleness Is a Gift, What's the Return Policy?","Self-Help, Christian",Holly Virden,2003,Nelson Books,http://images.amazon.com/images/P/0785263292.01.MZZZZZZZ.jpg
830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,"Self-Help, Psychology",H. Norman Wright,1989,Regal Books,http://images.amazon.com/images/P/0830714014.01.MZZZZZZZ.jpg
345354931,Night Mare (Xanth Novels (Paperback)),"Fantasy, Humor",Piers Anthony,1990,Del Rey Books,http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg
553278223,The Martian Chronicles,"Science Fiction, Classic",RAY BRADBURY,1984,Spectra,http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg
3150000335,Kabale Und Liebe,"Classic, Drama",Schiller,0,"Philipp Reclam, Jun Verlag GmbH",http://images.amazon.com/images/P/3150000335.01.MZZZZZZZ.jpg
3257203659,Der illustrierte Mann. Erz??�hlungen.,"Science Fiction, Short Stories",Ray Bradbury,2002,Diogenes,http://images.amazon.com/images/P/3257203659.01.MZZZZZZZ.jpg
3257207522,Der K??�nig in Gelb.,"Horror, Weird Fiction",Raymond Chandler,1980,Diogenes Verlag,http://images.amazon.com/images/P/3257207522.01.MZZZZZZZ.jpg
3257208626,Fahrenheit 451,"Dystopian, Science Fiction",Ray Bradbury,1994,Distribooks Inc,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
3257208634,Die Mars- Chroniken. Roman in Erz??�hlungen.,Science Fiction,Ray Bradbury,1981,Diogenes Verlag,http://images.amazon.com/images/P/3257208634.01.MZZZZZZZ.jpg
3257208669,Das B??�se kommt auf leisen Sohlen.,"Horror, Fiction",Ray Bradbury,2003,Diogenes,http://images.amazon.com/images/P/3257208669.01.MZZZZZZZ.jpg
3257210450,L??�wenzahnwein. Roman.,"Fiction, Literary",Ray Bradbury,1999,Diogenes Verlag,http://images.amazon.com/images/P/3257210450.01.MZZZZZZZ.jpg
3257212054,Das Kind von morgen. Erz??�hlungen.,"Science Fiction, Short Stories",Ray Bradbury,2000,Diogenes Verlag,http://images.amazon.com/images/P/3257212054.01.MZZZZZZZ.jpg
3257212429,Die Mechanismen der Freude. Erz??�hlungen.,"Science Fiction, Short Stories",Ray Bradbury,2000,Diogenes Verlag,http://images.amazon.com/images/P/3257212429.01.MZZZZZZZ.jpg
3257214154,Familientreffen. Erz??�hlungen.,"Fiction, Short Stories",Ray Bradbury,2000,Diogenes Verlag,http://images.amazon.com/images/P/3257214154.01.MZZZZZZZ.jpg
3257216416,Der Tod kommt schnell in Mexico. Erz??�hlungen.,"Thriller, Short Stories",Ray Bradbury,1988,Diogenes Verlag,http://images.amazon.com/images/P/3257216416.01.MZZZZZZZ.jpg
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,"Fiction, Psychological",Paolo Coelho,2002,Distribooks,http://images.amazon.com/images/P/3257233051.01.MZZZZZZZ.jpg
342311360X,Die Liebe in Den Zelten,"Fiction, Romance",Gabriel Garcia Marquez,0,Deutscher Taschenbuch Verlag (DTV),http://images.amazon.com/images/P/342311360X.01.MZZZZZZZ.jpg
3423116714,Die Klone der Joanna May. Roman.,"Science Fiction, Feminist Fiction",Fay Weldon,1993,Dtv,http://images.amazon.com/images/P/3423116714.01.MZZZZZZZ.jpg
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,"Humor, Memoir",Arabella Weir,1998,Dtv,http://images.amazon.com/images/P/3423241489.01.MZZZZZZZ.jpg
3426605686,Haifischfrauen.,"Fiction, Drama",Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",http://images.amazon.com/images/P/3426605686.01.MZZZZZZZ.jpg
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,"Humor, Fiction",Sue Townsend,2002,Heyne,http://images.amazon.com/images/P/3453212150.01.MZZZZZZZ.jpg
3462021095,Schwarzer Tee mit drei St�ck Zucker,"Fiction, Literary",Renan Demirkan,1991,Kiepenheuer &amp, Witsch
3492045642,Quersch??�sse - Downsize This!,"Politics, Non-Fiction",Michael Moore,2003,Piper,http://images.amazon.com/images/P/3492045642.01.MZZZZZZZ.jpg
3498020862,Die Korrekturen.,Literary Fiction,Jonathan Franzen,2002,"Rowohlt, Reinbek",http://images.amazon.com/images/P/3498020862.01.MZZZZZZZ.jpg
3499110695,Neun Erz??�hlungen.,"Classic, Short Stories",Jerome D. Salinger,1968,Rowohlt Tb.,http://images.amazon.com/images/P/3499110695.01.MZZZZZZZ.jpg
3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.","Classic, Fiction",Jerome D. Salinger,1998,Rowohlt Tb.,http://images.amazon.com/images/P/3499151502.01.MZZZZZZZ.jpg
3518111000,"Ulysses (????bersetzg. Wollschl??�ger). ( Neue Folge, 100).","Classic, Modernist",James Joyce,1981,Suhrkamp,http://images.amazon.com/images/P/3518111000.01.MZZZZZZZ.jpg
3548254268,Eine ganz normale Aff??�re.,"Fiction, Romance",Joanna Trollope,2002,Ullstein Tb,http://images.amazon.com/images/P/3548254268.01.MZZZZZZZ.jpg
3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).","Fiction, Humor",Sue Townsend,2002,"Bertelsmann, M??�nchen",http://images.amazon.com/images/P/3570300099.01.MZZZZZZZ.jpg
3596292646,Das Buch der l??�cherlichen Liebe.,"Literary Fiction, Romance",Milan Kundera,2000,"Fischer (Tb.), Frankfurt",http://images.amazon.com/images/P/3596292646.01.MZZZZZZZ.jpg
60977493,The God of Small Things,"Literary Fiction, Historical Fiction",Arundhati Roy,1998,Perennial,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg
312872682,The James Dean Affair: A Neil Gulliver &amp, Stevie Marriner Novel,"Mystery, Thriller",Robert S. Levinson,2000,St Martins Pr
316602906,The Big Bad Wolf: A Novel,"Thriller, Crime",James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg
316693006,Four Blind Mice,"Mystery, Thriller",James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
345311396,Private Screening,"Thriller, Suspense",Richard North Patterson,1994,Ballantine Books,http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg
345378490,Congo,"Adventure, Thriller",Michael Crichton,1995,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg
345404793,Protect and Defend,Political Thriller,Richard North Patterson,2001,Ballantine Books,http://images.amazon.com/images/P/0345404793.01.MZZZZZZZ.jpg
345433173,The Tall Pine Polka,"Contemporary Fiction, Romance",Lorna Landvik,1999,Ballantine Books,http://images.amazon.com/images/P/0345433173.01.MZZZZZZZ.jpg
375400117,Memoirs of a Geisha,"Historical Fiction, Cultural",Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg
375705856,Plainsong (Vintage Contemporaries),"Contemporary Fiction, Literary Fiction",KENT HARUF,2000,Vintage,http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg
380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),"Mystery, Crime Thriller",Patricia D. Cornwell,1992,Avon,http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg
380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),"Mystery, Crime Thriller",Patricia D. Cornwell,1993,Avon,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg
380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),"Children's Mystery, Adventure",Carol J. Farley,1988,Avon Books,http://images.amazon.com/images/P/0380754509.01.MZZZZZZZ.jpg
038076654X,Petals on the River,Historical Romance,Kathleen E. Woodiwiss,1997,Avon Trade,http://images.amazon.com/images/P/038076654X.01.MZZZZZZZ.jpg
380807866,The Elusive Flame,Historical Romance,Kathleen E. Woodiwiss,1999,Avon,http://images.amazon.com/images/P/0380807866.01.MZZZZZZZ.jpg
385316895,Legacy of Silence,"Romance, Suspense",Belva Plain,1998,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385316895.01.MZZZZZZZ.jpg
385497466,The Brethren,"Legal Thriller, Political Thriller",JOHN GRISHAM,2000,Doubleday,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
385508042,The King of Torts,Legal Thriller,John Grisham,2003,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg
385509456,The Curious Incident of the Dog in the Night-Time : A Novel,"Mystery, Contemporary Fiction",MARK HADDON,2003,Doubleday,http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg
385511612,Bleachers,"Sports Fiction, Drama",John Grisham,2003,Doubleday,http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg
385730586,Sisterhood of the Traveling Pants,"Young Adult, Contemporary",ANN BRASHARES,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg
425164403,Only Love (Magical Love),"Romance, Fiction",Erich Segal,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425164403.01.MZZZZZZZ.jpg
440234964,All or Nothing (Wheeler Large Print Books),"Romance, Contemporary Fiction",Elizabeth Adler,2000,Island,http://images.amazon.com/images/P/0440234964.01.MZZZZZZZ.jpg
446605484,Roses Are Red (Alex Cross Novels),"Crime Thriller, Mystery",James Patterson,2001,Warner Vision,http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg
446610399,The Rescue,"Romance, Drama",Nicholas Sparks,2001,Warner Books,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg
449006522,Manhattan Hunt Club,"Thriller, Suspense",JOHN SAUL,2002,Ballantine Books,http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg
449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),"Contemporary Fiction, Women�s Fiction",LORNA LANDVIK,1996,Ballantine Books,http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg
451162072,Pet Sematary,"Horror, Supernatural",Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg
451186648,Silent Snow,"Mystery, Thriller",Steve Thayer,2000,Signet Book,http://images.amazon.com/images/P/0451186648.01.MZZZZZZZ.jpg
452282152,Girl with a Pearl Earring,"Historical Fiction, Art",Tracy Chevalier,2001,Plume Books,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
051513290X,Summer of Storms,Romantic Suspense,Judith Kelman,2002,Jove Books,http://images.amazon.com/images/P/051513290X.01.MZZZZZZZ.jpg
553580388,The Patient,Medical Thriller,Michael Palmer,2001,Bantam Books,http://images.amazon.com/images/P/0553580388.01.MZZZZZZZ.jpg
590598848,"Demona's Revenge (Gargoyles, No. 2)","Fantasy, Children's Fiction",Francine Hughes,1995,Scholastic,http://images.amazon.com/images/P/0590598848.01.MZZZZZZZ.jpg
590629719,Clifford's Sports Day,Children's Fiction,Norman Bridwell,1996,Scholastic,http://images.amazon.com/images/P/0590629719.01.MZZZZZZZ.jpg
671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),"Mystery, Crime Thriller",Patricia Cornwell,1998,Pocket,http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg
671027387,Deception Point,"Techno-thriller, Political Thriller",Dan Brown,2002,Pocket,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg
684848783,Tis : A Memoir,"Memoir, Biography",Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg
743486226,Angels &amp, Demons,"Thriller, Mystery",Dan Brown,2003,Atria
786863986,A Monk Swimming,"Memoir, Humor",Malachy McCourt,1998,Hyperion,http://images.amazon.com/images/P/0786863986.01.MZZZZZZZ.jpg
803251718,Crazy Horse,"Biography, History",Mari Sandoz,1961,University of Nebraska Press,http://images.amazon.com/images/P/0803251718.01.MZZZZZZZ.jpg
804117934,The Silent Cry (William Monk Novels (Paperback)),Historical Mystery,Anne Perry,1998,Ivy Books,http://images.amazon.com/images/P/0804117934.01.MZZZZZZZ.jpg
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),"Cozy Mystery, African Fiction",ALEXANDER MCCALL SMITH,2004,Anchor,http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),"Self-help, Inspirational",Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg
60987103,Wicked: The Life and Times of the Wicked Witch of the West,"Fantasy, Retelling",Gregory Maguire,1996,Regan Books,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg
151008116,Life of Pi,"Adventure, Philosophical Fiction",Yann Martel,2002,Harcourt,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg
375704965,A Judgement in Stone,"Psychological Thriller, Mystery",Ruth Rendell,2000,Vintage Books USA,http://images.amazon.com/images/P/0375704965.01.MZZZZZZZ.jpg
525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,"Political Satire, Non-fiction",Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg
804111359,Secret History,"Mystery, Literary Fiction",DONNA TARTT,1993,Ballantine Books,http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),"Self-help, Inspirational",Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg
435272683,Great Expectations (Heinemann Guided Readers),"Classic, Literary Fiction",John Milne,1995,Delta Systems,http://images.amazon.com/images/P/0435272683.01.MZZZZZZZ.jpg
316782505,The Weight of Water,"Historical Fiction, Mystery",Anita Shreve,2001,"Little, Brown",http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg
006102063X,Moving Pictures (Discworld Novels (Paperback)),"Fantasy, Satire",Terry Pratchett,2002,HarperTorch,http://images.amazon.com/images/P/006102063X.01.MZZZZZZZ.jpg
60013117,Night Watch,"Fantasy, Humor",Terry Pratchett,2002,HarperCollins,http://images.amazon.com/images/P/0060013117.01.MZZZZZZZ.jpg
60199563,Thief of Time,"Fantasy, Satire",Terry Pratchett,2001,HarperCollins Publishers,http://images.amazon.com/images/P/0060199563.01.MZZZZZZZ.jpg
006052779X,Charlotte's Web Book and Charm (Charming Classics),"Children's Literature, Classic",E. B. White,2003,HarperFestival,http://images.amazon.com/images/P/006052779X.01.MZZZZZZZ.jpg
60563079,Peter Pan: The Original Story (Peter Pan),"Children's Literature, Fantasy",J. M. Barrie,2003,HarperFestival,http://images.amazon.com/images/P/0060563079.01.MZZZZZZZ.jpg
60809027,My Friend Flicka,"Children's Literature, Adventure",Mary O'Hara,1988,Perennial,http://images.amazon.com/images/P/0060809027.01.MZZZZZZZ.jpg
61040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),"Fantasy, Humor",Terry Pratchett,2001,HarperCollins,http://images.amazon.com/images/P/0061040967.01.MZZZZZZZ.jpg
61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),"Fantasy, Satire",Terry Pratchett,1998,HarperPrism,http://images.amazon.com/images/P/0061050474.01.MZZZZZZZ.jpg
61052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)","Fantasy, Humor",Terry Pratchett,1997,HarperPrism,http://images.amazon.com/images/P/0061052515.01.MZZZZZZZ.jpg
61052523,Interesting Times: A Novel of Discworld,"Fantasy, Satire",Terry Pratchett,1997,Harpercollins,http://images.amazon.com/images/P/0061052523.01.MZZZZZZZ.jpg
64472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson","Young Adult, Humor",Louise Rennison,2002,HarperTempest,http://images.amazon.com/images/P/0064472264.01.MZZZZZZZ.jpg
140620664,Mansfield Park (Penguin Popular Classics),"Classic, Romance",Jane Austen,1994,Penguin Books Ltd,http://images.amazon.com/images/P/0140620664.01.MZZZZZZZ.jpg
312148267,The Wind in the Willows,"Children's Literature, Classic",Kenneth Grahame,1996,St. Martin's Press,http://images.amazon.com/images/P/0312148267.01.MZZZZZZZ.jpg
312156960,The Winter King: A Novel of Arthur (The Warlord Chronicles: I),"Historical Fiction, Fantasy",Bernard Cornwell,1997,St. Martin's Griffin,http://images.amazon.com/images/P/0312156960.01.MZZZZZZZ.jpg
312890044,Moonheart (Newford),"Urban Fantasy, Mythology",Charles de Lint,1994,Orb Books,http://images.amazon.com/images/P/0312890044.01.MZZZZZZZ.jpg
034543191X,The King of Elfland's Daughter (Del Rey Impact),"Fantasy, Classic",Edward John Moreton Drax Plunkett Dunsany,1999,Del Rey Books,http://images.amazon.com/images/P/034543191X.01.MZZZZZZZ.jpg
373836023,Powder and Patch,Historical Romance,Georgette Heyer,2004,Harlequin,http://images.amazon.com/images/P/0373836023.01.MZZZZZZZ.jpg
375751513,The Picture of Dorian Gray (Modern Library (Paperback)),"Classic, Gothic Fiction",OSCAR WILDE,1998,Modern Library,http://images.amazon.com/images/P/0375751513.01.MZZZZZZZ.jpg
375801677,The Iron Giant,"Children's Literature, Science Fiction",Ted Hughes,1999,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375801677.01.MZZZZZZZ.jpg
375814248,James and the Giant Peach,"Children's Literature, Fantasy",ROALD DAHL,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375814248.01.MZZZZZZZ.jpg
375823352,"The Amber Spyglass (His Dark Materials, Book 3)","Fantasy, Young Adult",PHILIP PULLMAN,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375823352.01.MZZZZZZZ.jpg
037582345X,"The Golden Compass (His Dark Materials, Book 1)","Fantasy, Young Adult",PHILIP PULLMAN,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
375823468,"The Subtle Knife (His Dark Materials, Book 2)","Fantasy, Young Adult",PHILIP PULLMAN,2002,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375823468.01.MZZZZZZZ.jpg
380730448,"The Adrian Mole Diaries : The Secret Diary of Adrian Mole, Aged 13 3/4 : The Growing Pains of Adrian Mole","Young Adult, Humor",Sue Townsend,1997,Perennial,http://images.amazon.com/images/P/0380730448.01.MZZZZZZZ.jpg
380973839,Martian Chronicles,"Science Fiction, Classic",Ray Bradbury,1997,William Morrow,http://images.amazon.com/images/P/0380973839.01.MZZZZZZZ.jpg
385327773,The Great God Pan,"Horror, Supernatural",Donna Jo Napoli,2003,Wendy Lamb Books,http://images.amazon.com/images/P/0385327773.01.MZZZZZZZ.jpg
394586239,Possession: A Romance,"Literary Fiction, Mystery",A. S. Byatt,1990,Random House Inc,http://images.amazon.com/images/P/0394586239.01.MZZZZZZZ.jpg
439510112,Born Confused,"Young Adult, Contemporary",Tanuja Desai Hidier,2003,Push,http://images.amazon.com/images/P/0439510112.01.MZZZZZZZ.jpg
440241413,Confessions of a Shopaholic,"Chick Lit, Humor",SOPHIE KINSELLA,2003,Dell,http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg
451409256,Making Minty Malone,"Romantic Comedy, Contemporary",Isabel Wolff,2000,Onyx Books,http://images.amazon.com/images/P/0451409256.01.MZZZZZZZ.jpg
451523415,Little Women (Signet Classic),"Classic, Historical Fiction",Louisa May Alcott,1988,Signet Classics,http://images.amazon.com/images/P/0451523415.01.MZZZZZZZ.jpg
451526279,Emma (Signet Classics (Paperback)),"Classic, Romance",Jane Austen,1996,Signet Classics,http://images.amazon.com/images/P/0451526279.01.MZZZZZZZ.jpg
451526341,Animal Farm,"Dystopian, Political Fiction",George Orwell,2004,Signet,http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg
553280589,Eva Luna,"Magical Realism, Historical Fiction",Isabel Allende,1989,Bantam Books,http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg
571197639,Poisonwood Bible Edition Uk,"Historical Fiction, Literary Fiction",Barbara Kingsolver,0,Faber Faber Inc,http://images.amazon.com/images/P/0571197639.01.MZZZZZZZ.jpg
670035262,The Green Man : Tales from the Mythic Forest,"Mythology, Fantasy",Ellen Datlow,2002,Viking Juvenile,http://images.amazon.com/images/P/0670035262.01.MZZZZZZZ.jpg
679423079,Nicholas Nickleby (Everyman's Library),"Classic, Historical Fiction",Charles Dickens,1993,Alfred A. Knopf,http://images.amazon.com/images/P/0679423079.01.MZZZZZZZ.jpg
679751343,Angels &amp, Insects : Two Novellas,"Historical Fiction, Gothic",A.S. BYATT,1994,Vintage
684833395,Catch 22,"Satire, War Fiction",Joseph Heller,1996,Simon &amp, Schuster
743245024,The Forsyte Saga : The Man of Property and In Chancery,"Classic, Historical Fiction",John Galsworthy,2002,Touchstone,http://images.amazon.com/images/P/0743245024.01.MZZZZZZZ.jpg
749748001,The Enchanted Wood,Children's Fantasy,Enid Blyton,2002,Egmont Childrens Books,http://images.amazon.com/images/P/0749748001.01.MZZZZZZZ.jpg
749748028,The Folk of the Faraway Tree,Children's Fantasy,Enid Blyton,2002,Egmont Childrens Books,http://images.amazon.com/images/P/0749748028.01.MZZZZZZZ.jpg
963094424,Angels and Visitations: A Miscellany,"Fantasy, Short Stories",Neil Gaiman,1993,Dreamhaven Books,http://images.amazon.com/images/P/0963094424.01.MZZZZZZZ.jpg
1401201172,"League of Extraordinary Gentlemen, Vol. 2 (Comic)","Graphic Novel, Steampunk",Alan Moore,2003,DC Comics,http://images.amazon.com/images/P/1401201172.01.MZZZZZZZ.jpg
1563892278,"Preludes and Nocturnes (Sandman, Book 1)","Graphic Novel, Dark Fantasy",Neil Gaiman,1998,DC Comics,http://images.amazon.com/images/P/1563892278.01.MZZZZZZZ.jpg
1563898586,"The League of Extraordinary Gentlemen, Vol. 1","Graphic Novel, Steampunk",Alan Moore,2002,DC Comics,http://images.amazon.com/images/P/1563898586.01.MZZZZZZZ.jpg
156971620X,Harlequin Valentine,"Graphic Novel, Romance",Neil Gaiman,2002,Dark Horse Comics,http://images.amazon.com/images/P/156971620X.01.MZZZZZZZ.jpg
1592571301,Alpha Teach Yourself American Sign Language in 24 Hours (Alpha Teach Yourself in 24 Hours),,Trudy Suggs,2003,Alpha Books,http://images.amazon.com/images/P/1592571301.01.MZZZZZZZ.jpg
